DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCLVC7T	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	Approved	34.0	DMXZAL2	Hydroxychloroquine	.	.	Non-small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCXBPQG	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Non-Small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DC3HXFI	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	Approved	34.0	DMWO5ZR	Cediranib	.	.	Carcinoma, Non-Small-Cell Lung	ClinicalTrials.gov	Phase 1	.					3
DC88YCK	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	Approved	34.0	DMREDYP	ABT-869	.	.	Non-Small Cell Lung Cancer	ClinicalTrials.gov	Phase 1	.					3
DCUP0OH	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	Approved	34.0	DMYBQQ0	EndoAngio-GT	.	.	Lung cancer	TTD Database	Investigative	.					3
DCJKVRN	DMPQAGE	Mycophenolate mofetil	Investigative	0.0	DMLPAOB	Allopurinol	Approved	34.0	DMP6SC2	Irinotecan	.	.	Small-cell Lung Cancer	ClinicalTrials.gov	Phase 1	.					3
DC5PGB5	DM6LOQU	Celecoxib	Approved	34.0	DMDI269	Docetaxel	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCF7E5Y	DM9HPW3	Exemestane	Approved	34.0	DMG281S	Carboplatin	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Stage IV Non-small Cell Lung Cancer	ClinicalTrials.gov	Phase 1	.					3
DC6ENQ2	DM13V0P	Rivoceranib	Phase 3	25.0	DM13V0P	Rivoceranib	Phase 3	25.0	DM13V0P	Rivoceranib	.	.	Lung Adenocarcinoma	ClinicalTrials.gov	Phase 1	.					3
DC066AG	DM3906J	Bedaquiline	Approved	34.0	DM4M1SG	Clarithromycin	Phase 2 Trial	21.0	DMR87LC	Ethambutol	.	.	Treatment-refractory Mycobacterium Avium Complex-lung Disease (MAC-LD)	ClinicalTrials.gov	Phase 2	.					3
DC0WUY4	DMCBJSR	Sunitinib	Approved	34.0	DMG281S	Carboplatin	Approved	34.0	DMP6SC2	Irinotecan	.	.	Small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCY6J0F	DMHSY1I	Regorafenib	Approved	34.0	DMIYDT4	Cabozantinib	Approved	34.0	DMTKD7Q	Afatinib	.	.	Non-small Cell Lung Carcinoma	ClinicalTrials.gov	Phase 2	.					3
