DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA
DC4XUHV	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	3.1	8.53	5.64	9.56
DC042HW	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	2.16	10.38	9.43	11.39
DCSYKKN	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	13.57	15.29	10.03	17.14
DCOPX9G	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	9.48	13.82	6.03	17.12
DC9MNFP	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	2.57	2.77	0.55	3.6
DCJ1G8L	DMUM7HZ	Fluorouracil	Approved	34	DM9WLN4	10-hydroxycamptothecin	Investigative	0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	4.79	11.23	2.49	13.31
DCDBYUC	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	3.04	4.95	1.64	7.92
DC0PXP4	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	DLD1	0	4.31	2.93	8.54
DC6GJ5O	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	1.1	6.14	11.04	6.05
DCH1B10	DMUM7HZ	Fluorouracil	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	6.31	14.82	18.23	19.36
DC158YT	DMUM7HZ	Fluorouracil	Approved	34	DMNO38U	Bortezomib	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	5.37	6.3	5.55	7.84
DCMTG98	DMUM7HZ	Fluorouracil	Approved	34	DMP6G8T	Topotecan	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	2.82	4.05	4.9	7.83
DC1OA37	DMUM7HZ	Fluorouracil	Approved	34	DMS8IFC	Sorafenib	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	4.38	4.46	0.03	8.34
DCI2O36	DMUM7HZ	Fluorouracil	Approved	34	DMUOT9V	Taxol	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	13.76	14.63	12.56	17.09
DCOTB31	DMUM7HZ	Fluorouracil	Approved	34	DMVXFYE	Vinorelbine	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	7.85	8.1	6.1	8.89
DC2FVX8	DMUM7HZ	Fluorouracil	Approved	34	DMWMPD4	Vorinostat	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	13.76	13.6	4.13	15.59
DC6EJAY	DMUM7HZ	Fluorouracil	Approved	34	DMWTAOI	Estramustine	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	9.34	11.63	21.63	9.56
DC3VSIP	DMUM7HZ	Fluorouracil	Approved	34	DMJV2EK	Dasatinib	Investigative	0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	COLO320DM	6.99	15.25	9.58	11.85
DCADKI9	DMUM7HZ	Fluorouracil	Approved	34	DMJV2EK	Dasatinib	Investigative	0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	DLD1	7.99	7.87	8.26	12.51
DC1PTVD	DMUM7HZ	Fluorouracil	Approved	34	DMJV2EK	Dasatinib	Investigative	0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	HT29	5.26	5.84	11.74	15.39
DCMJ4QJ	DMUM7HZ	Fluorouracil	Approved	34	DMJV2EK	Dasatinib	Investigative	0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	SW-620	0.16	2.98	5.12	5.12
DC7HONE	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	0.33	3.92	6.04	6.89
DC5X7DL	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	3.62	2.56	4.32	8.92
DCZBRAF	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	2.1	1.48	2.07	6.19
DCDZFYY	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	3.65	4.38	3.49	11.21
DCBAAWV	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	OV90	0.6	0.68	2.28	5.88
DCGQHNK	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	EFM192B	4.11	6.32	6.31	6.42
DC22TXQ	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	MDAMB436	5.98	7.91	8.43	9.54
DCTG9JF	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	1.55	1.07	1.74	11.59
DC91D7D	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	4.34	7.79	4.51	9.47
DCK7CYM	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	3.15	2.72	6.7	7.15
DC6MMP7	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	5.94	5.4	1.29	7.81
DCN25FH	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	2.04	3.26	4.46	8.92
DCDPWLJ	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	9.08	9.9	7.99	13.8
DCYNRI3	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	5.97	6.63	11.94	15.38
DCEPSYD	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	OV90	1.57	8.52	12.32	13.62
DC3FD7A	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	MDAMB436	4.55	10.27	6.39	10.89
DCQHOGW	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	2.21	2.49	16.68	18.06
DCQYT8T	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	9.69	13.29	13.65	15.71
DC5P376	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	8.71	8.19	15.78	17.54
DCODSY6	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	8.21	9.91	12.14	18.41
DC5NCO4	DMUM7HZ	Fluorouracil	Approved	34	DM3WDZ5	MK-1775	Phase 2	21	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	1.1	2.38	3.76	7.61
DC631VR	DMUM7HZ	Fluorouracil	Approved	34	DM3WDZ5	MK-1775	Phase 2	21	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	0.48	3.34	6.89	11
DCNHKBV	DMUM7HZ	Fluorouracil	Approved	34	DM3WDZ5	MK-1775	Phase 2	21	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	8.99	9.03	9.93	14.77
DCPJ54L	DMUM7HZ	Fluorouracil	Approved	34	DM3WDZ5	MK-1775	Phase 2	21	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	MDAMB436	4.32	10.17	2.35	11.52
DCXXE5L	DMUM7HZ	Fluorouracil	Approved	34	DM3WDZ5	MK-1775	Phase 2	21	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	8.81	8.7	16.57	19.24
DC4JQTY	DMUM7HZ	Fluorouracil	Approved	34	DM3WDZ5	MK-1775	Phase 2	21	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	5.56	6.82	0.67	9.7
DC9P428	DMUM7HZ	Fluorouracil	Approved	34	DM3WDZ5	MK-1775	Phase 2	21	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	3.98	9.29	12.19	15.54
DCMW289	DMUM7HZ	Fluorouracil	Approved	34	DM3WDZ5	MK-1775	Phase 2	21	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	5.84	7.57	10.1	13.36
DC6857R	DMUM7HZ	Fluorouracil	Approved	34	DMMWZET	Dexamethasone	Phase 3 Trial	25	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	2.15	5.95	7.97	14.25
DC4A3FP	DMUM7HZ	Fluorouracil	Approved	34	DMMWZET	Dexamethasone	Phase 3 Trial	25	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	MDAMB436	0.81	6.91	2.44	4.56
DCGJ44Y	DMUM7HZ	Fluorouracil	Approved	34	DMMWZET	Dexamethasone	Phase 3 Trial	25	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	7.25	7.3	13.66	19.13
DCHTSSM	DMUM7HZ	Fluorouracil	Approved	34	DMMWZET	Dexamethasone	Phase 3 Trial	25	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	5.02	7.58	2.22	4.13
DCNTWNJ	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	5	6.17	4.1	8.71
DCQ5WMI	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	3.49	4.26	4.29	9.48
DCHJLMV	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	3.11	2.71	5.21	9.41
DCSNU3J	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	7.47	8.18	5.18	10.8
DCDHCZI	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	OV90	1.37	2.68	5.18	7.82
DCKI9K3	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	1.78	2.33	6.51	9.82
DCZDAEL	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	17.25	17.46	11.88	20.55
DCLP3LF	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	3.81	8.94	3.69	11.6
DCDF0AX	DMUM7HZ	Fluorouracil	Approved	34	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	4.99	11.03	0.1	12.39
DCC3NNC	DMUM7HZ	Fluorouracil	Approved	34	DM2TEOL	Methotrexate	Phase 1/2 Trial	19	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	4.57	3.68	1.31	7.6
DCA10WS	DMUM7HZ	Fluorouracil	Approved	34	DM2TEOL	Methotrexate	Phase 1/2 Trial	19	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	5.27	3.89	3.56	4.2
DCYEO3D	DMUM7HZ	Fluorouracil	Approved	34	DM2TEOL	Methotrexate	Phase 1/2 Trial	19	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	0.94	1.08	0.64	7.01
DCZXIUO	DMUM7HZ	Fluorouracil	Approved	34	DM2TEOL	Methotrexate	Phase 1/2 Trial	19	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	3.61	2.25	2.49	6.04
DCIVGRH	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	9.96	6.09	4.05	8.24
DC6NZAA	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	1.18	0.3	1.49	4.37
DCKUELH	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	7.32	12.69	7.1	14.03
DCRFSIY	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	15.63	15.06	11.74	16.93
DCDW3EN	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	OV90	2.2	3.68	6.26	8.45
DCEQ7KQ	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	MDAMB436	15.15	17.16	8.27	16.34
DCK0IM6	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	5.16	3.59	4.56	10.86
DC3EIVI	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	16.3	18.24	1.36	19.74
DC5FPC4	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	0.72	1.81	5.98	8.38
DC66YRL	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	15.39	9.76	22.76	9.4
DCG6R2J	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	4.72	4.13	5.18	8.75
DCZ765I	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	2.75	1.74	3.67	8.04
DCLM10J	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	1.16	0.74	4.67	8.43
DCO29V1	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	2.72	2.41	4.32	8.75
DCU3Q8W	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	OV90	4.44	3.82	8.18	10.99
DCLWLID	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	1.14	0.97	8.08	11.11
DCQGEN5	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	7.13	6.93	7.86	11.35
DCEGTQB	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	8.38	4.81	5.84	9.19
DCUEXMJ	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	4.47	3.9	1.53	6.06
DCWJWRH	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	4.78	0.22	2.32	1.12
DCVG2RL	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	0.95	0.85	6.13	8.95
DCUP3WX	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	OV90	2.54	1.99	4.73	7.3
DCLL34N	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	EFM192B	3.54	3.23	1.65	6.74
DCOUDM4	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	1.83	1.18	7.1	9.13
DCBJGZ2	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	5.99	6.48	4.19	10.33
DCZ32VP	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	9.08	14.08	2.4	9.2
DCU1EKM	DMUM7HZ	Fluorouracil	Approved	34	DMSE3I7	Gemcitabine	Preclinical	2.1	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	2.52	2.61	6.93	11.17
DCM7JP9	DMUM7HZ	Fluorouracil	Approved	34	DMSE3I7	Gemcitabine	Preclinical	2.1	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	10.97	7.19	0.58	9.25
DCAHIF1	DMUM7HZ	Fluorouracil	Approved	34	DMSE3I7	Gemcitabine	Preclinical	2.1	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	2.29	2.25	8.47	12.27
DC2YD4T	DMUM7HZ	Fluorouracil	Approved	34	DM9WLN4	10-hydroxycamptothecin	Investigative	0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	3.08	5.65	8.57	10.58
DC8LLV4	DMUM7HZ	Fluorouracil	Approved	34	DM9WLN4	10-hydroxycamptothecin	Investigative	0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	2.33	8.34	12.19	14.05
DCXKB9R	DMUM7HZ	Fluorouracil	Approved	34	DM9WLN4	10-hydroxycamptothecin	Investigative	0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	3.51	2.59	2.14	7.93
DCI46IY	DMUM7HZ	Fluorouracil	Approved	34	DM9WLN4	10-hydroxycamptothecin	Investigative	0	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	2.47	2.9	6.81	9.94
DC9UZUW	DMUM7HZ	Fluorouracil	Approved	34	DM9WLN4	10-hydroxycamptothecin	Investigative	0	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	18.04	17.41	12.79	20.36
DCDYB8W	DMUM7HZ	Fluorouracil	Approved	34	DM9WLN4	10-hydroxycamptothecin	Investigative	0	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	3.15	4.38	6.87	13.06
DCQVW73	DMUM7HZ	Fluorouracil	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	16.67	12.7	16.24	12.75
DC7PUKI	DMUM7HZ	Fluorouracil	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	2.12	4.17	0.32	5.33
DC30EOL	DMUM7HZ	Fluorouracil	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	0.1	3.07	1.43	5.34
DC15OQS	DMUM7HZ	Fluorouracil	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Carcinoma	JAAKS Dataset	Investigative	MDAMB436	5.61	7.08	4.71	7.69
DCLJ2EH	DMUM7HZ	Fluorouracil	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	3.47	4.46	4.87	5.92
DCR9GPB	DMUM7HZ	Fluorouracil	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	8.46	10.36	9.72	11.94
DCZ37GI	DMUM7HZ	Fluorouracil	Approved	34	DMB5A80	SNX-2112	Investigative	0	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	0.01	0.64	3.92	5.01
DCBU8L8	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	1.72	3.4	4.13	8.88
DC1S8V2	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	0.08	0.48	5.67	9.05
DCMXOVM	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	ZR751	0.71	1.54	8.57	11.21
DC09CDH	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	2.04	2.16	5.5	11.6
DC48PJC	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	1.78	2.55	7.01	12
DCH3H6P	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	3.63	3.32	7.73	14.19
DCL8X1Q	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	22.28	22.53	9.9	20.8
DCW2L30	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	1.12	1.12	3.55	6.76
DCMSHKT	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	5.19	5.26	9.95	13.07
DCWW9WK	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	3.49	4.58	4	8.47
DCISOID	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	3.11	2.16	1.32	7.17
DCW622Q	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Colon adenocarcinoma	JAAKS Dataset	Investigative	LOVO	2.99	3.08	9.97	14.88
DCPS2ZQ	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Colon carcinoma	JAAKS Dataset	Investigative	RKO	16.86	17.32	14.8	19.25
DCTZ8JI	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Invasive ductal carcinoma	JAAKS Dataset	Investigative	T-47D	4.49	2.2	4.78	7.69
DCGU6MD	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Rectal adenocarcinoma	JAAKS Dataset	Investigative	SW837	6.78	7.05	4.41	14.73
