DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DC4XUHV	DMUM7HZ	fluorouracil	Approved	34.0	DM27D4J	pD-0325901	Phase 2	21.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	3.1	8.53	5.64	9.56	2
DC042HW	DMUM7HZ	fluorouracil	Approved	34.0	DM3BH1Y	lapatinib	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	2.16	10.38	9.43	11.39	2
DCSYKKN	DMUM7HZ	fluorouracil	Approved	34.0	DM5TVS3	vinblastine	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	13.57	15.29	10.03	17.14	2
DCOPX9G	DMUM7HZ	fluorouracil	Approved	34.0	DM62QTW	rTB101	Phase 3	25.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	9.48	13.82	6.03	17.12	2
DC9MNFP	DMUM7HZ	fluorouracil	Approved	34.0	DM67EMK	sCH-900776	Phase 2	21.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	2.57	2.77	0.55	3.6	2
DCJ1G8L	DMUM7HZ	fluorouracil	Approved	34.0	DM9WLN4	10-hydroxycamptothecin	Investigative	0.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	4.79	11.23	2.49	13.31	2
DCDBYUC	DMUM7HZ	fluorouracil	Approved	34.0	DMCJLD1	sCH 727965	Discontinued in Phase 3	9.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	3.04	4.95	1.64	7.92	2
DC0PXP4	DMUM7HZ	fluorouracil	Approved	34.0	DMCMBHA	erlotinib	Approved	34.0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	DLD1	0.0	4.31	2.93	8.54	2
DC6GJ5O	DMUM7HZ	fluorouracil	Approved	34.0	DMCMBHA	erlotinib	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	1.1	6.14	11.04	6.05	2
DCH1B10	DMUM7HZ	fluorouracil	Approved	34.0	DMLYGH4	mK-4827	Phase 3	25.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	6.31	14.82	18.23	19.36	2
DC158YT	DMUM7HZ	fluorouracil	Approved	34.0	DMNO38U	bortezomib	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	5.37	6.3	5.55	7.84	2
DCMTG98	DMUM7HZ	fluorouracil	Approved	34.0	DMP6G8T	topotecan	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	2.82	4.05	4.9	7.83	2
DC1OA37	DMUM7HZ	fluorouracil	Approved	34.0	DMS8IFC	sorafenib	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	4.38	4.46	0.03	8.34	2
DCI2O36	DMUM7HZ	fluorouracil	Approved	34.0	DMUOT9V	taxol	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	13.76	14.63	12.56	17.09	2
DCOTB31	DMUM7HZ	fluorouracil	Approved	34.0	DMVXFYE	vinorelbine	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	7.85	8.1	6.1	8.89	2
DC2FVX8	DMUM7HZ	fluorouracil	Approved	34.0	DMWMPD4	vorinostat	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	13.76	13.6	4.13	15.59	2
DC6EJAY	DMUM7HZ	fluorouracil	Approved	34.0	DMWTAOI	estramustine	Approved	34.0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	9.34	11.63	21.63	9.56	2
DC3VSIP	DMUM7HZ	fluorouracil	Approved	34.0	DMJV2EK	dasatinib	Investigative	0.0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	COLO320DM	6.99	15.25	9.58	11.85	2
DCADKI9	DMUM7HZ	fluorouracil	Approved	34.0	DMJV2EK	dasatinib	Investigative	0.0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	DLD1	7.99	7.87	8.26	12.51	2
DC1PTVD	DMUM7HZ	fluorouracil	Approved	34.0	DMJV2EK	dasatinib	Investigative	0.0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	HT29	5.26	5.84	11.74	15.39	2
DCMJ4QJ	DMUM7HZ	fluorouracil	Approved	34.0	DMJV2EK	dasatinib	Investigative	0.0	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	SW-620	0.16	2.98	5.12	5.12	2
