DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCASCDK	DM4DMBT	chlorthalidone	Approved	34.0	DMGN1PW	indapamide	Approved	34.0	DMUSZHD	hydrochlorothiazide	.	.	Kidney Stone	ClinicalTrials.gov	Phase 2	.					3
DCPZY7H	DM4DMBT	chlorthalidone	Approved	34.0	DMBDAZV	amlodipine	Approved	34.0	DMTL5Q0	losartan	.	.	Hypertension	ClinicalTrials.gov	Phase 1	.					3
DC5AOCT	DM4DMBT	chlorthalidone	Approved	34.0	DMBDAZV	amlodipine	Approved	34.0	DMS3GX2	telmisartan	.	.	Hypertension	ClinicalTrials.gov	Phase 1	.					3
DCG2FK7	DM5FSJA	glimepiride	Approved	34.0	DMDASC6	metformin	Investigative	0.0	DMGDKXN	sitagliptin	.	.	Type 2 Diabetes Mellitus	ClinicalTrials.gov	Phase 4	.					3
DC9T0X0	DM5FSJA	glimepiride	Approved	34.0	DMGDKXN	sitagliptin	Approved	34.0	DMRM3AW	acarbose	.	.	Type 2 Diabetes Mellitus	ClinicalTrials.gov	Phase 3	.					3
DCGTXL7	DM5FSJA	glimepiride	Approved	34.0	DM79VXT	pF-04971729	Approved	34.0	DMGDKXN	sitagliptin	.	.	Type 2 Diabetes Mellitus	ClinicalTrials.gov	Phase 3	.					3
DCNMR1W	DM5FSJA	glimepiride	Approved	34.0	DMF28YC	atorvastatin	Phase 3 Trial	25.0	DMDASC6	metformin	.	.	Type 2 Diabetes Mellitus	ClinicalTrials.gov	Phase 3	.					3
DC2LI4D	DMQ8FR2	prednisolone	Approved	34.0	DMSIVND	hydroxychloroquine	Phase 3 Trial	25.0	DMZ7XNQ	tacrolimus	.	.	Lupus Nephritis	ClinicalTrials.gov	Phase 1	.					3
DCMINDQ	DMQ8FR2	prednisolone	Approved	34.0	DMUYKBZ	cyclosporin A	Phase 2 Trial	21.0	DMXZAL2	hydroxychloroquine	.	.	Lupus Nephritis	ClinicalTrials.gov	Phase 1	.					3
DCKTUWU	DM3JFIH	vancomycin	Approved	34.0	DMI9FBP	imipenem	Approved	34.0	DMS6UOE	azithromycin	.	.	Cirrhosis	ClinicalTrials.gov	Phase 4	.					3
DCHTNFE	DM3JFIH	vancomycin	Approved	34.0	DMOJZQ9	loperamide	Preclinical	2.1	DMTIVEN	metronidazole	.	.	Clostridium Difficile Infection	ClinicalTrials.gov	Phase 2	.					3
DCMO25P	DMC5Q8X	berberine	Phase 4	31.0	DMMZXIW	rabeprazole	Approved	34.0	DMUYNEI	amoxicillin	.	.	Dyspepsia	ClinicalTrials.gov	Phase 4	.					3
DCY9GMT	DMC5Q8X	berberine	Phase 4	31.0	DMO6315	vonoprazan	Phase 4	31.0	DMUYNEI	amoxicillin	.	.	Helicobacter Pylori Infection	ClinicalTrials.gov	Phase 4	.					3
DCN801X	DMB920Z	ceritinib	Approved	34.0	DMJYCVW	warfarin	Approved	34.0	DMXOELT	midazolam	.	.	ALK-positive Advanced Tumors	ClinicalTrials.gov	Phase 1	.					3
DCDM84V	DMBMUWZ	emtricitabine	Approved	34.0	DMN3GCH	darunavir	Approved	34.0	DMU764S	ritonavir	.	.	HIV	ClinicalTrials.gov	Phase 4	.					3
DCG0IYQ	DMBMUWZ	emtricitabine	Approved	34.0	DMSYRBX	atazanavir	Approved	34.0	DMU764S	ritonavir	.	.	HIV	ClinicalTrials.gov	Phase 4	.					3
DCN2MPA	DMBMUWZ	emtricitabine	Approved	34.0	DMI2QPE	didanosine	Approved	34.0	DMSYRBX	atazanavir	.	.	HIV Infections	ClinicalTrials.gov	Phase 4	.					3
DCZ4OHF	DMBMUWZ	emtricitabine	Approved	34.0	DMTQF4A	tenofovir alafenamide	Phase 3	25.0	DMMF5IE	gS-9883	.	.	HIV	ClinicalTrials.gov	Phase 3	.					3
DC0YJIS	DMBMUWZ	emtricitabine	Approved	34.0	DMN3GCH	darunavir	Approved	34.0	DMU764S	ritonavir	.	.	HIV Infections	ClinicalTrials.gov	Phase 1	.					3
DC2A9FF	DMBMUWZ	emtricitabine	Approved	34.0	DMTQF4A	tenofovir alafenamide	Phase 3	25.0	DMMF5IE	gS-9883	.	.	Human immunodeficiency virus-1 infection	TTD Database	Phase 1	.					3
DCZZPAN	DM04LR2	floxuridine	Approved	34.0	DMQNWRD	oxaliplatin	Approved	34.0	DMTS85L	capecitabine	.	.	Colorectal Cancer	ClinicalTrials.gov	Phase 3	.					3
DCG3WT9	DM04LR2	floxuridine	Approved	34.0	DMP6SC2	irinotecan	Approved	34.0	DMQNWRD	oxaliplatin	.	.	Colo-rectal Cancer	ClinicalTrials.gov	Phase 2	.					3
DC87X4Q	DM04LR2	floxuridine	Approved	34.0	DMMWZET	dexamethasone	Phase 3 Trial	25.0	DM832TJ	gemcitabine	.	.	Intrahepatic Cholangiocarcinoma	ClinicalTrials.gov	Phase 1	.					3
DCW0VKM	DM04LR2	floxuridine	Approved	34.0	DMMWZET	dexamethasone	Phase 3 Trial	25.0	DM832TJ	gemcitabine	.	.	Nasopharyngeal Carcinoma	ClinicalTrials.gov	Phase 1	.					3
DCCYZZ8	DMRMS0L	morphine	Approved	34.0	DMUIE76	acetaminophen	Approved	34.0	DMXLKHV	oxycodone	.	.	Head and Neck Cancer	ClinicalTrials.gov	Phase 4	.					3
DCIKSEG	DMRMS0L	morphine	Approved	34.0	DMSPJG2	ropivacaine	Approved	34.0	DMUIE76	acetaminophen	.	.	Postoperative Pain	ClinicalTrials.gov	Phase 4	.					3
DCU1UMB	DMRMS0L	morphine	Approved	34.0	DMU7YEL	sufentanil	Approved	34.0	DMU7YEL	sufentanil	.	.	Post Operative Pain Management	ClinicalTrials.gov	Phase 1	.					3
DC82630	DMREUQ6	valsartan	Phase 3 Trial	25.0	DMNKG1Z	atenolol	Approved	34.0	DMUSZHD	hydrochlorothiazide	.	.	Hypertension	ClinicalTrials.gov	Phase 3	.					3
DC7YLAY	DMREUQ6	valsartan	Phase 3 Trial	25.0	DMQYLGP	levocetirizine	Approved	34.0	DMRF9YK	empagliflozin	.	.	Diabetic Nephropathies	ClinicalTrials.gov	Phase 2	.					3
DCDFJIE	DMUIE76	acetaminophen	Approved	34.0	DMWSXI4	acetylcysteine	Approved	34.0	DMZHUO5	phenylephrine	.	.	Common Cold	ClinicalTrials.gov	Phase 3	.					3
DCGCF6W	DMUIE76	acetaminophen	Approved	34.0	DMXLKHV	oxycodone	Approved	34.0	DMZ5RGV	naproxen	.	.	Pain, Postoperative	ClinicalTrials.gov	Phase 3	.					3
DCYJ6Y9	DMIYDT4	cabozantinib	Approved	34.0	DMIYDT4	cabozantinib	Approved	34.0	DMIYDT4	cabozantinib	.	.	Non Small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCARI40	DM6RZ9Q	clonidine	Approved	34.0	DM783CH	levobupivacaine	Approved	34.0	DMU7YEL	sufentanil	.	.	Anesthesia, Epidural	ClinicalTrials.gov	Phase 3	.					3
DC648ND	DM6RZ9Q	clonidine	Approved	34.0	DM84ZXF	lorazepam	Approved	34.0	DMSSCFY	naltrexone	.	.	Opiate Addiction	ClinicalTrials.gov	Phase 1	.					3
DCNJP9A	DM2M3ZA	glycopyrrolate	Approved	34.0	DM6T2J3	neostigmine	Approved	34.0	DMY9BMK	rocuronium	.	.	Surgery	ClinicalTrials.gov	Phase 4	.					3
DC0I7J9	DM2M3ZA	glycopyrrolate	Approved	34.0	DM6T2J3	neostigmine	Approved	34.0	DMY9BMK	rocuronium	.	.	Anesthesia, General	ClinicalTrials.gov	Phase 3	.					3
DCX75WN	DM2M3ZA	glycopyrrolate	Approved	34.0	DM6T2J3	neostigmine	Approved	34.0	DMP0UK2	vecuronium	.	.	Anesthesia, General	ClinicalTrials.gov	Phase 3	.					3
DCU0JTG	DM4QTBN	isotretinoin	Phase 3 Trial	25.0	DMKECZD	temozolomide	Approved	34.0	DMWMPD4	vorinostat	.	.	Glioblastoma Multiforme	ClinicalTrials.gov	Phase 1	.					3
DC7TBXK	DMI347A	lamivudine	Approved	34.0	DMN3GCH	darunavir	Approved	34.0	DMU764S	ritonavir	.	.	Patient Compliance	ClinicalTrials.gov	Phase 4	.					3
DCHS312	DMI347A	lamivudine	Approved	34.0	DMSYRBX	atazanavir	Approved	34.0	DMU764S	ritonavir	.	.	HIV	ClinicalTrials.gov	Phase 3	.					3
DCWVXBK	DMI347A	lamivudine	Approved	34.0	DMSY4ZG	tenofovir disoproxil fumarate	Approved	34.0	DM215WE	mK-1439	.	.	Human immunodeficiency virus-1 infection	TTD Database	Phase 1	.					3
DCX6GZ8	DM783CH	levobupivacaine	Approved	34.0	DMI4EL5	ketorolac	Approved	34.0	DMRMS0L	morphine	.	.	Total Knee Arthroplasty	ClinicalTrials.gov	Phase 4	.					3
DC2EF2A	DM783CH	levobupivacaine	Approved	34.0	DMPIHLS	diclofenac	Approved	34.0	DMUIE76	acetaminophen	.	.	Pain, Postoperative	ClinicalTrials.gov	Phase 1	.					3
DCY82ZV	DM5QF9V	tamsulosin	Approved	34.0	DMS1GYT	mirabegron	Approved	34.0	DMUIE76	acetaminophen	.	.	Nephrolithiasis	ClinicalTrials.gov	Phase 4	.					3
DC4RFMB	DMF30HL	zarnestra	Phase 3	25.0	DMM0XGL	idarubicin	Approved	34.0	DMZD5QR	cytarabine	.	.	Adult Acute Basophilic Leukemia	ClinicalTrials.gov	Phase 1	.					3
DC707XK	DM4HYMS	aBT-888	Phase 3	25.0	DMG281S	carboplatin	Approved	34.0	DMLB81S	paclitaxel	.	.	Cancer - Ovarian	ClinicalTrials.gov	Phase 1	.					3
DCCR21I	DM4HYMS	aBT-888	Phase 3	25.0	DMKECZD	temozolomide	Approved	34.0	DMTS85L	capecitabine	.	.	Functional Pancreatic Neuroendocrine Tumor	ClinicalTrials.gov	Phase 1	.					3
DCEE9HL	DM4HYMS	aBT-888	Phase 3	25.0	DMQNWRD	oxaliplatin	Approved	34.0	DMTS85L	capecitabine	.	.	Adenocarcinoma of the Pancreas	ClinicalTrials.gov	Phase 1	.					3
DCMZGP1	DMTKD7Q	afatinib	Approved	34.0	DMTKD7Q	afatinib	Approved	34.0	DMVXFYE	vinorelbine	.	.	Neoplasms	ClinicalTrials.gov	Phase 1	.					3
DCGBGII	DM6L4H2	cobicistat	Approved	34.0	DMN3GCH	darunavir	Approved	34.0	DMU764S	ritonavir	.	.	AIDS-related Dementia Complex	ClinicalTrials.gov	Phase 4	.					3
DC3CL07	DM6L4H2	cobicistat	Approved	34.0	DM8I94Y	venetoclax	Approved	34.0	DMTA5OE	azacitidine	.	.	AML, Adult	ClinicalTrials.gov	Phase 2	.					3
