DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCHRH0E	DM8X2EH	everolimus	Approved	34.0	DM93VBZ	lY2835219	Approved	34.0	DM9HPW3	exemestane	.	.	Breast Neoplasms	ClinicalTrials.gov	Phase 1	.					3
DCKTQTO	DM8X2EH	everolimus	Approved	34.0	DM9HPW3	exemestane	Approved	34.0	DMMX75K	lEE011	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCSB3HE	DM8WAHT	fentanyl	Approved	34.0	DMB4OLE	propofol	Investigative	0.0	DMXOELT	midazolam	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCEOJQ4	DMF57DM	pazopanib	Approved	34.0	DM0HS92	merimepodib	Approved	34.0	DM0HS92	merimepodib	.	.	Inflammatory breast cancer	TTD Database	Phase 1	.					3
DC4262U	DM5XPIJ	leuprolide	Approved	34.0	DM8X2EH	everolimus	Approved	34.0	DMH07Y3	letrozole	.	.	Metastatic Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCB32SG	DM5XPIJ	leuprolide	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMIXC7G	zoledronate	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCCPSYD	DM93VBZ	lY2835219	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMNP60F	anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DC24QBY	DM93VBZ	lY2835219	Approved	34.0	DMNP60F	anastrozole	Approved	34.0	DMTEOOS	loperamide	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DC5BMCN	DM93VBZ	lY2835219	Approved	34.0	DMAQ469	gonadorelin	Approved	34.0	DMH07Y3	letrozole	.	.	Early Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCL0TJ2	DM93VBZ	lY2835219	Approved	34.0	DM93VBZ	lY2835219	Approved	34.0	DM93VBZ	lY2835219	.	.	HR+/HER2- Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCUAJZ7	DM1DX4Q	eribulin	Approved	34.0	DMTS85L	capecitabine	Approved	34.0	DMVXFYE	vinorelbine	.	.	Advanced Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCHQSTE	DM1DX4Q	eribulin	Approved	34.0	DM4HYMS	aBT-888	Phase 3	25.0	DMG281S	carboplatin	.	.	Breast Cancer Stage IV	ClinicalTrials.gov	Phase 2	.					3
DCY6JTI	DM2OZ3G	ixabepilone	Approved	34.0	DMTS85L	capecitabine	Approved	34.0	DMZAL8C	motesanib	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC35L9F	DM1WEHC	buparlisib	Phase 3	25.0	DMH07Y3	letrozole	Approved	34.0	DMMX75K	lEE011	.	.	Advanced or Metastatic Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC93Z3D	DM9HPW3	exemestane	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMNP60F	anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCZHHUA	DM9HPW3	exemestane	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMNP60F	anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCL9I4L	DM9HPW3	exemestane	Approved	34.0	DMH07Y3	letrozole	Approved	34.0	DMNP60F	anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCASAWS	DM6QOVN	hKI-272	Phase 3	25.0	DMIRPD8	colestipol	Approved	34.0	DMTEOOS	loperamide	.	.	Early Stage HER2+ Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
