model,AUROC,AUROC_std,AUPRC,AUPRC_std,F1,F1_std,Precision,Recall
Logistic Regression,0.544,0.0967,0.6818,0.0983,0.5424,0.0646,0.5548,0.56
SVM,0.704,0.192,0.8146,0.1294,0.6477,0.1212,0.6633,0.64
