model,AUROC,AUROC_std,AUPRC,AUPRC_std,F1,F1_std,Precision,Recall
Logistic Regression,0.68,0.1943,0.7709,0.1536,0.5236,0.1213,0.62,0.52
Random Forest,0.672,0.1667,0.797,0.1048,0.6121,0.2033,0.7333,0.6
SVM,0.344,0.3295,0.5602,0.2331,0.4732,0.3903,0.5333,0.44
XGBoost,0.736,0.167,0.817,0.1176,0.783,0.1478,0.8667,0.76
