,afatinib,cabozantinib,docetaxel,erlotinib,gefitinib,gemcitabine,icotinib hydrochloride,regorafenib,vinorelbine
afatinib,0.0,0.43697478991596655,0.14971392875295766,0.19179593944283563,0.172598518290878,0.1616138310842304,0.17259851829087827,0.41176470588235314,0.1710889003415288
cabozantinib,0.43697478991596655,0.0,0.1539156094252265,0.1959976201151045,0.17680019896314683,0.16581551175649925,0.1768001989631471,0.4369747899159661,0.17529058101379766
docetaxel,0.14971392875295766,0.1539156094252265,0.0,0.16268445173847962,0.13527518988578466,0.23469804056948343,0.13527518988578527,0.1497139287529576,0.29133909769030997
erlotinib,0.19179593944283563,0.1959976201151045,0.16268445173847962,0.0,0.34464142727468083,0.23819377240692222,0.34464142727468133,0.19179593944283554,0.24784898728398044
gefitinib,0.172598518290878,0.17680019896314683,0.13527518988578466,0.34464142727468083,0.0,0.15241233923151856,0.37100230432872217,0.17259851829087794,0.16190201489041972
gemcitabine,0.1616138310842304,0.16581551175649925,0.23469804056948343,0.23819377240692222,0.15241233923151856,0.0,0.15241233923152003,0.16161383108423036,0.2886545993118535
icotinib hydrochloride,0.17259851829087827,0.1768001989631471,0.13527518988578527,0.34464142727468133,0.37100230432872217,0.15241233923152003,0.0,0.1725985182908782,0.1619020148904195
regorafenib,0.41176470588235314,0.4369747899159661,0.1497139287529576,0.19179593944283554,0.17259851829087794,0.16161383108423036,0.1725985182908782,0.0,0.17108890034152874
vinorelbine,0.1710889003415288,0.17529058101379766,0.29133909769030997,0.24784898728398044,0.16190201489041972,0.2886545993118535,0.1619020148904195,0.17108890034152874,0.0
